Id,SentimientoGeneral,AspectosPositivos,AspectosNegativos,Dificultad,RendimientoTecnico,BugsProblemas,Jugabilidad,HistoriaContenido,PrecioValor,InsightPrincipal,RecomendadoOriginal,RecomendadoBinario
1673,Negativo,['Divertido en algunos aspectos intangibles'],"['Conducción horrible', 'Personalización de personajes limitada', 'Disparos rígidos y poco satisfactorios', 'Actuación de voz deficiente', 'Escritura pobre y predecible']",Difícil,"No está listo para el mercado, necesita parches","['Problemas de conducción', 'Actuación de voz irregular']","Mecánicas de combate insatisfactorias, dificultad alta en combate cuerpo a cuerpo","Escritura y narrativa decepcionantes, giros predecibles",No vale 60 en su estado actual,El juego no está terminado y no debería haberse lanzado aún.,No recomendado,0
4737,Negativo,"['Divertido en algunos aspectos', 'Confianza en que se mejorará con parches futuros']","['Conducción horrible', 'Opciones de personalización limitadas', 'Disparos y combate poco satisfactorios', 'Actuaciones de voz deficientes', 'Escritura de la historia pobre y predecible']",Difícil,"No está listo para el mercado, necesita parches","['Conducción no funcional', 'Problemas de optimización']",Mecánicas de combate y conducción frustrantes,Escritura y desarrollo de la historia decepcionantes,No vale 60 en su estado actual,El juego no está terminado y no debería haberse lanzado aún.,No recomendado,0
4200,Negativo,"['Divertido en algunos aspectos', 'Potencial de mejora a futuro']","['Conducción horrible', 'Opciones de personalización limitadas', 'Combate poco satisfactorio', 'Actuación de voz deficiente', 'Escritura pobre y predecible']",Difícil,"No optimizado, juego no listo para el mercado","['Problemas de conducción', 'Errores en la actuación de voz']",Mecánicas de combate y conducción insatisfactorias,Escritura y narrativa decepcionantes,No vale 60 dólares en su estado actual,El juego no está terminado y no debería haberse lanzado aún.,No recomendado,0
12285,Positivo,"['Mundo abierto innovador', 'Variedad en mecánicas de juego', 'Diseño del mundo impresionante', 'Gráficos de alta calidad', 'Lore interesante']","['Problemas de lag en PvP', 'Diseño de misiones inconsistente', 'Dificultad de la IA en algunas misiones', 'Interfaz de usuario básica']",Equilibrado,Algunos problemas de lag y bugs en misiones,"['Misiones que no avanzan por condiciones estrictas', 'Bug que impide interacción con personajes']","Mecánicas variadas y accesibles, aunque con problemas en misiones","Lore bien presentado, pero misiones pueden ser confusas",No mencionado,"A pesar de algunos problemas, el juego ofrece una experiencia increíble y recomendable.",Recomendado,1
7816,Negativo,[],"['Juego imitación de baja calidad', 'Desarrollo apresurado por un equipo inexperto', 'Mundo vacío y sin vida', 'IA de NPCs deficiente', 'Misiones poco interesantes', 'Decisiones sin impacto real', 'Gráficos y animaciones pobres']",No Mencionado,Problemas técnicos distraen de la mala calidad del juego,[],"Mecánicas y controles deficientes, experiencia de juego insatisfactoria","Historia y misiones decepcionantes, sin contenido significativo","No vale la pena el precio, relación calidad-precio muy mala",Es un juego decepcionante que no cumple con las expectativas y no se recomienda.,No recomendado,0
12474,Mixto,"['Mundo y construcción del mundo', 'Narrativa y desarrollo de personajes', 'Potencial de la historia principal', 'Posibilidad de probar diferentes builds']","['Jugabilidad repetitiva', 'Actividades secundarias poco inspiradas', 'Bugs persistentes', 'Gameplay incompleto']",No Mencionado,"No muy pulido, requiere guardados frecuentes",['Bugs persistentes que requieren cargar guardados anteriores'],Intrigante pero se vuelve repetitiva rápidamente,Buena narrativa pero no se aprovecha todo su potencial,"Disfrutable y vale la pena jugarlo, especialmente para fans del género","Cyberpunk 2077 tiene el potencial de ser un clásico, pero sufre de problemas de jugabilidad y bugs.",Recomendado,1
11186,Mixto,"['Gráficos impresionantes en ocasiones', 'Historia principal y misiones secundarias disfrutables']","['Problemas técnicos y glitches', 'Sistema de tráfico y IA de policías deficiente', 'Final apresurado y anticlimático']",No Mencionado,"Corrió bastante bien en PC, pero con problemas visuales significativos","['Glitches gráficos', 'Problemas con sistemas RPG que no funcionan']","Más un FPS de acción que un RPG, con mecánicas decepcionantes",Historia principal atractiva pero final decepcionante,No Mencionado,"Cyberpunk 2077 tiene el potencial de ser un gran juego, pero fue lanzado en un estado decepcionante.",Recomendado,1
14895,Positivo,"['Gráficos fabulosos y realistas', 'Historia larga y con giros argumentales', 'Gran cantidad de misiones y contenido', 'Música y ambientación buenas', 'Sistema de combate mejorado', 'Posibilidad de jugar en diferentes dificultades']","['Falta de doblaje en castellano', 'Algunos bugs menores']",Equilibrado,"Jugué perfectamente en calidad ultra, sin problemas de rendimiento",['Bugs menores que desmerecen la jugabilidad'],Mecánicas de combate y exploración muy bien implementadas,"Historia y contenido muy ricos, con expansiones que aportan mucho","Recomendado comprarlo en descuento, buena relación calidad-precio","Un juego muy completo que ofrece muchas horas de diversión, especialmente si se explora todo.",Recomendado,1
1962,Negativo,"['Mundo amplio para explorar', 'Variedad de habilidades y sistemas de combate']","['Misiones repetitivas y poco interesantes', 'Narrativa débil y personajes poco desarrollados', 'Dungeons monótonos', 'Puzzles simplistas', 'Grind excesivo en el sistema de crafting']",No Mencionado,No mencionado,"['NPCs con voces repetidas', 'Problemas de marcado en misiones']",Mecánicas de combate variadas pero con problemas de progresión y grind,Historia y subtramas poco desarrolladas y sin inversión emocional,No mencionado,"A pesar de su gran mundo, la ejecución de la narrativa y las misiones es deficiente, lo que afecta la experiencia general.",No recomendado,0
9416,Negativo,"['Banda sonora perfecta', 'Actuaciones creíbles y fluidas']","['Desarrollo de la trama muy lento', 'Gunplay mediocre', 'Muchos bugs', 'Rendimiento técnico inaceptable', 'Mundo vacío y sin vida']",No Mencionado,"Rendimiento inaceptable, con caídas de FPS y problemas de optimización","['Crashes frecuentes', 'NPCs atrapados en paredes', 'Texturas mal pulidas', 'Iluminación defectuosa']","Jugabilidad lenta y aburrida, mecánicas de sigilo deficientes","Historia confusa y densa, con personajes poco desarrollados","No vale la pena el precio, esperar a parches",El juego decepciona en múltiples aspectos y no cumple con las expectativas.,No recomendado,0
